Name,Protein identifier,Contig id,Start,Stop,Strand,Gene symbol,Sequence name,Scope,Element type,Element subtype,Class,Subclass,Method,Target length,Reference sequence length,% Coverage of reference sequence,% Identity to reference sequence,Alignment length,Accession of closest sequence,Name of closest sequence,HMM id,HMM description
ERR9516335,NA,NODE_30_length_9580_cov_32.847522,4883,5695,+,sul2,sulfonamide-resistant dihydropteroate synthase Sul2,core,AMR,AMR,SULFONAMIDE,SULFONAMIDE,EXACTX,271,271,100,100,271,WP_001043260.1,sulfonamide-resistant dihydropteroate synthase Sul2,NA,NA
ERR9516335,NA,NODE_31_length_6674_cov_46.860846,335,913,+,aac(6')-IIc,aminoglycoside N-acetyltransferase AAC(6')-IIc,core,AMR,AMR,AMINOGLYCOSIDE,GENTAMICIN/KANAMYCIN/TOBRAMYCIN,EXACTX,193,193,100,100,193,WP_012695484.1,aminoglycoside N-acetyltransferase AAC(6')-IIc,NA,NA
ERR9516335,NA,NODE_31_length_6674_cov_46.860846,3001,3807,+,aac(3)-IIg,aminoglycoside N-acetyltransferase AAC(3)-IIg,core,AMR,AMR,AMINOGLYCOSIDE,GENTAMICIN,EXACTX,269,269,100,100,269,WP_012695485.1,aminoglycoside N-acetyltransferase AAC(3)-IIg,NA,NA
ERR9516335,NA,NODE_31_length_6674_cov_46.860846,3938,4348,+,arr,NAD(+)--rifampin ADP-ribosyltransferase,core,AMR,AMR,RIFAMYCIN,RIFAMYCIN,EXACTX,137,137,100,100,137,WP_012695486.1,NAD(+)--rifampin ADP-ribosyltransferase,NA,NA
ERR9516335,NA,NODE_31_length_6674_cov_46.860846,5232,6269,+,ere(A),EreA family erythromycin esterase,core,AMR,AMR,MACROLIDE,ERYTHROMYCIN,PARTIALX,346,408,84.8,100,346,WP_021566672.1,EreA family erythromycin esterase,NA,NA
ERR9516335,NA,NODE_31_length_6674_cov_46.860846,6455,6673,+,qacE,quaternary ammonium compound efflux SMR transporter QacE,core,STRESS,BIOCIDE,QUATERNARY AMMONIUM,QUATERNARY AMMONIUM,PARTIAL_CONTIG_ENDX,73,115,63.48,100,73,WP_000679427.1,quaternary ammonium compound efflux SMR transporter QacE delta 1,NA,NA
ERR9516335,NA,NODE_33_length_6414_cov_18.317816,146,1048,+,mph(A),Mph(A) family macrolide 2'-phosphotransferase,core,AMR,AMR,MACROLIDE,AZITHROMYCIN/ERYTHROMYCIN/SPIRAMYCIN/TELITHROMYCIN,EXACTX,301,301,100,100,301,WP_000219391.1,Mph(A) family macrolide 2'-phosphotransferase,NA,NA
ERR9516335,NA,NODE_37_length_4614_cov_30.438175,3608,4465,-,blaSHV-12,extended-spectrum class A beta-lactamase SHV-12,core,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,ALLELEX,286,286,100,100,286,WP_002904004.1,extended-spectrum class A beta-lactamase SHV-12,NA,NA
ERR9516335,NA,NODE_40_length_4229_cov_28.940029,899,1465,-,dfrA19,trimethoprim-resistant dihydrofolate reductase DfrA19,core,AMR,AMR,TRIMETHOPRIM,TRIMETHOPRIM,EXACTX,189,189,100,100,189,WP_000019304.1,trimethoprim-resistant dihydrofolate reductase DfrA19,NA,NA
ERR9516335,NA,NODE_42_length_3515_cov_24.254508,190,990,+,aph(3'')-Ib,aminoglycoside O-phosphotransferase APH(3'')-Ib,core,AMR,AMR,AMINOGLYCOSIDE,STREPTOMYCIN,EXACTX,267,267,100,100,267,WP_001082319.1,aminoglycoside O-phosphotransferase APH(3'')-Ib,NA,NA
