Name,Protein identifier,Contig id,Start,Stop,Strand,Gene symbol,Sequence name,Scope,Element type,Element subtype,Class,Subclass,Method,Target length,Reference sequence length,% Coverage of reference sequence,% Identity to reference sequence,Alignment length,Accession of closest sequence,Name of closest sequence,HMM id,HMM description
ERR9516191,NA,NODE_17_length_97395_cov_24.580407,88591,89448,-,blaTEM-1,broad-spectrum class A beta-lactamase TEM-1,core,AMR,AMR,BETA-LACTAM,BETA-LACTAM,ALLELEX,286,286,100,100,286,WP_000027057.1,broad-spectrum class A beta-lactamase TEM-1,NA,NA
ERR9516191,NA,NODE_27_length_8352_cov_32.340302,335,913,+,aac(6')-IIc,aminoglycoside N-acetyltransferase AAC(6')-IIc,core,AMR,AMR,AMINOGLYCOSIDE,GENTAMICIN/KANAMYCIN/TOBRAMYCIN,EXACTX,193,193,100,100,193,WP_012695484.1,aminoglycoside N-acetyltransferase AAC(6')-IIc,NA,NA
ERR9516191,NA,NODE_27_length_8352_cov_32.340302,3001,3807,+,aac(3)-IIg,aminoglycoside N-acetyltransferase AAC(3)-IIg,core,AMR,AMR,AMINOGLYCOSIDE,GENTAMICIN,EXACTX,269,269,100,100,269,WP_012695485.1,aminoglycoside N-acetyltransferase AAC(3)-IIg,NA,NA
ERR9516191,NA,NODE_27_length_8352_cov_32.340302,3938,4348,+,arr,NAD(+)--rifampin ADP-ribosyltransferase,core,AMR,AMR,RIFAMYCIN,RIFAMYCIN,EXACTX,137,137,100,100,137,WP_012695486.1,NAD(+)--rifampin ADP-ribosyltransferase,NA,NA
ERR9516191,NA,NODE_27_length_8352_cov_32.340302,5232,6269,+,ere(A),EreA family erythromycin esterase,core,AMR,AMR,MACROLIDE,ERYTHROMYCIN,PARTIALX,346,408,84.8,100,346,WP_021566672.1,EreA family erythromycin esterase,NA,NA
ERR9516191,NA,NODE_27_length_8352_cov_32.340302,6455,6799,+,qacEdelta1,quaternary ammonium compound efflux SMR transporter QacE delta 1,core,STRESS,BIOCIDE,QUATERNARY AMMONIUM,QUATERNARY AMMONIUM,ALLELEX,115,115,100,100,115,WP_000679427.1,quaternary ammonium compound efflux SMR transporter QacE delta 1,NA,NA
ERR9516191,NA,NODE_27_length_8352_cov_32.340302,6796,7632,+,sul1,sulfonamide-resistant dihydropteroate synthase Sul1,core,AMR,AMR,SULFONAMIDE,SULFONAMIDE,EXACTX,279,279,100,100,279,WP_000259031.1,sulfonamide-resistant dihydropteroate synthase Sul1,NA,NA
ERR9516191,NA,NODE_29_length_4614_cov_31.377783,150,1007,+,blaSHV-12,extended-spectrum class A beta-lactamase SHV-12,core,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,ALLELEX,286,286,100,100,286,WP_002904004.1,extended-spectrum class A beta-lactamase SHV-12,NA,NA
ERR9516191,NA,NODE_33_length_2613_cov_41.365536,1371,2567,+,tet(A),tetracycline efflux MFS transporter Tet(A),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,EXACTX,399,399,100,100,399,WP_000804063.1,tetracycline efflux MFS transporter Tet(A),NA,NA
ERR9516191,NA,NODE_38_length_1550_cov_27.329260,170,808,-,catA2,type A-2 chloramphenicol O-acetyltransferase CatII,core,AMR,AMR,PHENICOL,CHLORAMPHENICOL,EXACTX,213,213,100,100,213,WP_001011939.1,type A-2 chloramphenicol O-acetyltransferase CatII,NA,NA
ERR9516191,NA,NODE_39_length_1478_cov_54.068522,1,597,+,aph(3'')-Ib,aminoglycoside O-phosphotransferase APH(3'')-Ib,core,AMR,AMR,AMINOGLYCOSIDE,STREPTOMYCIN,PARTIAL_CONTIG_ENDX,199,267,74.53,100,199,WP_001082319.1,aminoglycoside O-phosphotransferase APH(3'')-Ib,NA,NA
ERR9516191,NA,NODE_39_length_1478_cov_54.068522,600,1433,+,aph(6)-Id,aminoglycoside O-phosphotransferase APH(6)-Id,core,AMR,AMR,AMINOGLYCOSIDE,STREPTOMYCIN,EXACTX,278,278,100,100,278,WP_000480968.1,aminoglycoside O-phosphotransferase APH(6)-Id,NA,NA
ERR9516191,NA,NODE_42_length_1150_cov_76.198509,36,848,-,sul2,sulfonamide-resistant dihydropteroate synthase Sul2,core,AMR,AMR,SULFONAMIDE,SULFONAMIDE,EXACTX,271,271,100,100,271,WP_001043260.1,sulfonamide-resistant dihydropteroate synthase Sul2,NA,NA
