Name,Protein identifier,Contig id,Start,Stop,Strand,Gene symbol,Sequence name,Scope,Element type,Element subtype,Class,Subclass,Method,Target length,Reference sequence length,% Coverage of reference sequence,% Identity to reference sequence,Alignment length,Accession of closest sequence,Name of closest sequence,HMM id,HMM description
ERR9516306,NA,NODE_23_length_28687_cov_15.653338,11183,12019,-,sul1,sulfonamide-resistant dihydropteroate synthase Sul1,core,AMR,AMR,SULFONAMIDE,SULFONAMIDE,EXACTX,279,279,100,100,279,WP_000259031.1,sulfonamide-resistant dihydropteroate synthase Sul1,NA,NA
ERR9516306,NA,NODE_23_length_28687_cov_15.653338,12016,12360,-,qacEdelta1,quaternary ammonium compound efflux SMR transporter QacE delta 1,core,STRESS,BIOCIDE,QUATERNARY AMMONIUM,QUATERNARY AMMONIUM,ALLELEX,115,115,100,100,115,WP_000679427.1,quaternary ammonium compound efflux SMR transporter QacE delta 1,NA,NA
ERR9516306,NA,NODE_23_length_28687_cov_15.653338,12527,13315,-,aadA1,ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA1,core,AMR,AMR,AMINOGLYCOSIDE,STREPTOMYCIN,EXACTX,263,263,100,100,263,WP_001206316.1,ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA1,NA,NA
ERR9516306,NA,NODE_23_length_28687_cov_15.653338,13392,13721,-,qacL,quaternary ammonium compound efflux SMR transporter QacL,core,STRESS,BIOCIDE,QUATERNARY AMMONIUM,QUATERNARY AMMONIUM,BLASTX,110,110,100,99.09,110,WP_000800531.1,quaternary ammonium compound efflux SMR transporter QacL,NA,NA
ERR9516306,NA,NODE_23_length_28687_cov_15.653338,22941,23798,+,aac(3)-IId,aminoglycoside N-acetyltransferase AAC(3)-IId,core,AMR,AMR,AMINOGLYCOSIDE,GENTAMICIN,EXACTX,286,286,100,100,286,WP_000557454.1,aminoglycoside N-acetyltransferase AAC(3)-IId,NA,NA
ERR9516306,NA,NODE_24_length_11747_cov_31.360069,680,1552,+,blaCTX-M-15,extended-spectrum class A beta-lactamase CTX-M-15,core,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,ALLELEX,291,291,100,100,291,WP_000239590.1,extended-spectrum class A beta-lactamase CTX-M-15,NA,NA
ERR9516306,NA,NODE_26_length_10503_cov_44.113422,3867,4730,-,blaSCO-1,class A beta-lactamase SCO-1,core,AMR,AMR,BETA-LACTAM,BETA-LACTAM,ALLELEX,288,288,100,100,288,WP_004197546.1,class A beta-lactamase SCO-1,NA,NA
ERR9516306,NA,NODE_31_length_4952_cov_210.614154,153,1010,-,blaTEM-1,broad-spectrum class A beta-lactamase TEM-1,core,AMR,AMR,BETA-LACTAM,BETA-LACTAM,ALLELEX,286,286,100,100,286,WP_000027057.1,broad-spectrum class A beta-lactamase TEM-1,NA,NA
ERR9516306,NA,NODE_34_length_3679_cov_35.516935,1721,2902,-,tet(D),tetracycline efflux MFS transporter Tet(D),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,EXACTX,394,394,100,100,394,WP_001039466.1,tetracycline efflux MFS transporter Tet(D),NA,NA
ERR9516306,NA,NODE_37_length_1819_cov_200.888634,106,906,+,aph(3'')-Ib,aminoglycoside O-phosphotransferase APH(3'')-Ib,core,AMR,AMR,AMINOGLYCOSIDE,STREPTOMYCIN,EXACTX,267,267,100,100,267,WP_001082319.1,aminoglycoside O-phosphotransferase APH(3'')-Ib,NA,NA
ERR9516306,NA,NODE_37_length_1819_cov_200.888634,909,1742,+,aph(6)-Id,aminoglycoside O-phosphotransferase APH(6)-Id,core,AMR,AMR,AMINOGLYCOSIDE,STREPTOMYCIN,EXACTX,278,278,100,100,278,WP_000480972.1,aminoglycoside O-phosphotransferase APH(6)-Id,NA,NA
ERR9516306,NA,NODE_39_length_1553_cov_27.555556,172,810,-,catA2,type A-2 chloramphenicol O-acetyltransferase CatII,core,AMR,AMR,PHENICOL,CHLORAMPHENICOL,EXACTX,213,213,100,100,213,WP_001011939.1,type A-2 chloramphenicol O-acetyltransferase CatII,NA,NA
ERR9516306,NA,NODE_41_length_1150_cov_270.733458,36,848,-,sul2,sulfonamide-resistant dihydropteroate synthase Sul2,core,AMR,AMR,SULFONAMIDE,SULFONAMIDE,EXACTX,271,271,100,100,271,WP_001043260.1,sulfonamide-resistant dihydropteroate synthase Sul2,NA,NA
