Name,Protein identifier,Contig id,Start,Stop,Strand,Gene symbol,Sequence name,Scope,Element type,Element subtype,Class,Subclass,Method,Target length,Reference sequence length,% Coverage of reference sequence,% Identity to reference sequence,Alignment length,Accession of closest sequence,Name of closest sequence,HMM id,HMM description
ERR9516307,NA,NODE_23_length_89466_cov_23.815637,83942,84754,+,sul2,sulfonamide-resistant dihydropteroate synthase Sul2,core,AMR,AMR,SULFONAMIDE,SULFONAMIDE,EXACTX,271,271,100,100,271,WP_001043260.1,sulfonamide-resistant dihydropteroate synthase Sul2,NA,NA
ERR9516307,NA,NODE_41_length_7283_cov_7.142659,1092,1955,-,blaCARB-4,PSE family carbenicillin-hydrolyzing class A beta-lactamase CARB-4,core,AMR,AMR,BETA-LACTAM,BETA-LACTAM,ALLELEX,288,288,100,100,288,WP_032489168.1,PSE family carbenicillin-hydrolyzing class A beta-lactamase CARB-4,NA,NA
ERR9516307,NA,NODE_41_length_7283_cov_7.142659,2124,2957,-,aph(6)-Id,aminoglycoside O-phosphotransferase APH(6)-Id,core,AMR,AMR,AMINOGLYCOSIDE,STREPTOMYCIN,EXACTX,278,278,100,100,278,WP_000480968.1,aminoglycoside O-phosphotransferase APH(6)-Id,NA,NA
ERR9516307,NA,NODE_41_length_7283_cov_7.142659,2960,3760,-,aph(3'')-Ib,aminoglycoside O-phosphotransferase APH(3'')-Ib,core,AMR,AMR,AMINOGLYCOSIDE,STREPTOMYCIN,EXACTX,267,267,100,100,267,WP_001082319.1,aminoglycoside O-phosphotransferase APH(3'')-Ib,NA,NA
ERR9516307,NA,NODE_44_length_5418_cov_23.492979,299,955,+,catA1,type A-1 chloramphenicol O-acetyltransferase,core,AMR,AMR,PHENICOL,CHLORAMPHENICOL,EXACTX,219,219,100,100,219,WP_000412211.1,type A-1 chloramphenicol O-acetyltransferase,NA,NA
ERR9516307,NA,NODE_46_length_2973_cov_32.202003,1706,2578,+,blaCTX-M-15,extended-spectrum class A beta-lactamase CTX-M-15,core,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,ALLELEX,291,291,100,100,291,WP_000239590.1,extended-spectrum class A beta-lactamase CTX-M-15,NA,NA
ERR9516307,NA,NODE_48_length_2022_cov_48.201542,736,1572,-,sul1,sulfonamide-resistant dihydropteroate synthase Sul1,core,AMR,AMR,SULFONAMIDE,SULFONAMIDE,EXACTX,279,279,100,100,279,WP_000259031.1,sulfonamide-resistant dihydropteroate synthase Sul1,NA,NA
ERR9516307,NA,NODE_48_length_2022_cov_48.201542,1569,1913,-,qacEdelta1,quaternary ammonium compound efflux SMR transporter QacE delta 1,core,STRESS,BIOCIDE,QUATERNARY AMMONIUM,QUATERNARY AMMONIUM,ALLELEX,115,115,100,100,115,WP_000679427.1,quaternary ammonium compound efflux SMR transporter QacE delta 1,NA,NA
ERR9516307,NA,NODE_56_length_1182_cov_25.152036,188,1051,-,blaSCO-1,class A beta-lactamase SCO-1,core,AMR,AMR,BETA-LACTAM,BETA-LACTAM,ALLELEX,288,288,100,100,288,WP_004197546.1,class A beta-lactamase SCO-1,NA,NA
ERR9516307,NA,NODE_59_length_990_cov_24.236583,333,863,+,ant(2'')-Ia,aminoglycoside nucleotidyltransferase ANT(2'')-Ia,core,AMR,AMR,AMINOGLYCOSIDE,GENTAMICIN/KANAMYCIN/TOBRAMYCIN,EXACTX,177,177,100,100,177,WP_000381802.1,aminoglycoside nucleotidyltransferase ANT(2'')-Ia,NA,NA
ERR9516307,NA,NODE_65_length_735_cov_22.291793,172,642,-,dfrA15,trimethoprim-resistant dihydrofolate reductase DfrA15,core,AMR,AMR,TRIMETHOPRIM,TRIMETHOPRIM,EXACTX,157,157,100,100,157,WP_001355915.1,trimethoprim-resistant dihydrofolate reductase DfrA15,NA,NA
