Name,Protein identifier,Contig id,Start,Stop,Strand,Gene symbol,Sequence name,Scope,Element type,Element subtype,Class,Subclass,Method,Target length,Reference sequence length,% Coverage of reference sequence,% Identity to reference sequence,Alignment length,Accession of closest sequence,Name of closest sequence,HMM id,HMM description
ERR9516219,NA,NODE_29_length_21011_cov_32.713098,17427,18263,-,sul1,sulfonamide-resistant dihydropteroate synthase Sul1,core,AMR,AMR,SULFONAMIDE,SULFONAMIDE,EXACTX,279,279,100,100,279,WP_000259031.1,sulfonamide-resistant dihydropteroate synthase Sul1,NA,NA
ERR9516219,NA,NODE_29_length_21011_cov_32.713098,18260,18604,-,qacEdelta1,quaternary ammonium compound efflux SMR transporter QacE delta 1,core,STRESS,BIOCIDE,QUATERNARY AMMONIUM,QUATERNARY AMMONIUM,ALLELEX,115,115,100,100,115,WP_000679427.1,quaternary ammonium compound efflux SMR transporter QacE delta 1,NA,NA
ERR9516219,NA,NODE_29_length_21011_cov_32.713098,18837,19307,-,dfrA7,trimethoprim-resistant dihydrofolate reductase DfrA7,core,AMR,AMR,TRIMETHOPRIM,TRIMETHOPRIM,EXACTX,157,157,100,100,157,WP_000703418.1,trimethoprim-resistant dihydrofolate reductase DfrA7,NA,NA
ERR9516219,NA,NODE_30_length_11016_cov_54.113173,3886,4698,-,sul2,sulfonamide-resistant dihydropteroate synthase Sul2,core,AMR,AMR,SULFONAMIDE,SULFONAMIDE,EXACTX,271,271,100,100,271,WP_001043260.1,sulfonamide-resistant dihydropteroate synthase Sul2,NA,NA
ERR9516219,NA,NODE_37_length_4962_cov_80.387103,157,1014,-,blaTEM-1,broad-spectrum class A beta-lactamase TEM-1,core,AMR,AMR,BETA-LACTAM,BETA-LACTAM,ALLELEX,286,286,100,100,286,WP_000027057.1,broad-spectrum class A beta-lactamase TEM-1,NA,NA
ERR9516219,NA,NODE_38_length_4939_cov_36.511107,132,995,+,blaSCO-1,class A beta-lactamase SCO-1,core,AMR,AMR,BETA-LACTAM,BETA-LACTAM,ALLELEX,288,288,100,100,288,WP_004197546.1,class A beta-lactamase SCO-1,NA,NA
ERR9516219,NA,NODE_39_length_4800_cov_40.220199,868,1668,+,aph(3'')-Ib,aminoglycoside O-phosphotransferase APH(3'')-Ib,core,AMR,AMR,AMINOGLYCOSIDE,STREPTOMYCIN,EXACTX,267,267,100,100,267,WP_001082319.1,aminoglycoside O-phosphotransferase APH(3'')-Ib,NA,NA
ERR9516219,NA,NODE_39_length_4800_cov_40.220199,1671,2504,+,aph(6)-Id,aminoglycoside O-phosphotransferase APH(6)-Id,core,AMR,AMR,AMINOGLYCOSIDE,STREPTOMYCIN,EXACTX,278,278,100,100,278,WP_000480968.1,aminoglycoside O-phosphotransferase APH(6)-Id,NA,NA
ERR9516219,NA,NODE_43_length_3677_cov_46.128889,1721,2902,-,tet(D),tetracycline efflux MFS transporter Tet(D),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,EXACTX,394,394,100,100,394,WP_001039466.1,tetracycline efflux MFS transporter Tet(D),NA,NA
ERR9516219,NA,NODE_44_length_2971_cov_136.210781,395,1267,-,blaCTX-M-15,extended-spectrum class A beta-lactamase CTX-M-15,core,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,ALLELEX,291,291,100,100,291,WP_000239590.1,extended-spectrum class A beta-lactamase CTX-M-15,NA,NA
ERR9516219,NA,NODE_49_length_1553_cov_38.256775,172,810,-,catA2,type A-2 chloramphenicol O-acetyltransferase CatII,core,AMR,AMR,PHENICOL,CHLORAMPHENICOL,EXACTX,213,213,100,100,213,WP_001011939.1,type A-2 chloramphenicol O-acetyltransferase CatII,NA,NA
