ID	LENGTH	ALIGNED	UNALIGNED	VARIANT	HET	MASKED	LOWCOV
ERR3635344	5326347	4763533	416610	0	107433	0	38771
ERR9516178	5326347	4717277	593525	0	8644	0	6901
ERR9516186	5326347	5166460	143721	0	6352	0	9814
ERR9516189	5326347	4857054	461611	0	2727	0	4955
ERR9516190	5326347	5059345	219711	0	12577	0	34714
ERR9516191	5326347	4851240	464671	0	4764	0	5672
ERR9516192	5326347	4676545	594889	0	12091	0	42822
ERR9516194	5326347	5152851	156587	0	8852	0	8057
ERR9516202	5326347	4599948	715777	0	2176	0	8446
ERR9516204	5326347	4593656	727001	0	1488	0	4202
ERR9516208	5326347	4968003	339216	0	10324	0	8804
ERR9516211	5326347	4741515	570042	0	6988	0	7802
ERR9516213	5326347	5082404	221607	0	9496	0	12840
ERR9516215	5326347	5150046	143511	0	16909	0	15881
ERR9516219	5326347	4722653	593912	0	4413	0	5369
ERR9516226	5326347	4792552	500837	0	7375	0	25583
ERR9516228	5326347	4643565	674625	0	3976	0	4181
ERR9516233	5326347	4896650	402059	0	11527	0	16111
ERR9516234	5326347	4629219	693350	0	892	0	2886
ERR9516242	5326347	4833372	482572	0	3811	0	6592
ERR9516260	5326347	5049526	214556	0	46912	0	15353
ERR9516264	5326347	5046212	259979	0	13109	0	7047
ERR9516265	5326347	4715378	598008	0	4577	0	8384
ERR9516266	5326347	5096115	216555	0	6533	0	7144
ERR9516269	5326347	4724915	593824	0	2827	0	4781
ERR9516279	5326347	4724951	593114	0	2977	0	5305
ERR9516287	5326347	4924694	389061	0	6720	0	5872
ERR9516292	5326347	4676681	620949	0	20997	0	7720
ERR9516298	5326347	4737299	571238	0	7420	0	10390
ERR9516306	5326347	4717353	593479	0	8571	0	6944
ERR9516307	5326347	4827577	474188	0	7918	0	16664
ERR9516309	5326347	4579849	739228	0	1603	0	5667
ERR9516319	5326347	4579937	741630	0	748	0	4032
ERR9516335	5326347	4900763	414501	0	5260	0	5823
ERR9516338	5326347	4898862	414418	0	7292	0	5775
ERR9516341	5326347	4578271	739801	0	2173	0	6102
ERR9516349	5326347	4599435	718633	0	3898	0	4381
ERR9516354	5326347	4922429	387181	0	9994	0	6743
ERR9516356	5326347	4882231	428483	0	8710	0	6923
ERR9855643	5326347	4901830	419126	0	823	0	4568
SRR11903203	5326347	4572053	726697	0	17481	0	10116
SRR11927768	5326347	4558951	726719	0	28049	0	12628
SRR11927771	5326347	4594219	726026	0	2004	0	4098
SRR11927779	5326347	4587499	726034	0	7649	0	5165
SRR13221299	5326347	4607354	686464	0	20992	0	11537
SRR7514404	5326347	4563545	713738	0	29665	0	19399
SRR8159839	5326347	4450329	724859	0	55887	0	95272
SRR8159842	5326347	4337093	738754	0	90655	0	159845
SRR8294664	5326347	4545474	718241	0	3960	0	58672
SRR8327695	5326347	4280393	733007	0	104640	0	208307
Reference	5326347	5326347	0	0	0	0	0
